[CH3]C(=O)[NH][CH2][CH2][NH]C(=O)[CH3]  CC(=O)NCCNC(C)=O  ABAWEG01
O=N(=O)N1[CH2][CH2]c2[cH][cH][cH][cH]c12  O=N(=O)N1CCc2ccccc12  QIJDAO01
[CH3]C(=NOC(=O)[CH]=[CH2])c1[cH][cH][cH][cH]n1  CC(=NOC(=O)C=C)c1ccccn1  QIXQOE
O=C1[NH]c2[cH][cH][cH][cH]c2Oc2[cH]c([cH]c(c12)N(=O)=O)N=[N+]=[N-]  O=C1Nc2ccccc2Oc2cc(cc(c12)N(=O)=O)N=[N+]=[N-]  QOFGIC
[CH3]C1=[CH][NH]C2=C([CH]1c1[cH][cH][cH][cH][cH]1)C(=O)c1[cH][cH][cH][cH]c1C2=O  CC1=CNC2=C(C1c1ccccc1)C(=O)c1ccccc1C2=O  QOHRIP
O(c1[cH][cH][cH][cH][cH]1)c1[cH]n[cH][cH]n1  O(c1ccccc1)c1cnccn1  QOLNUB
O=C1[NH][CH]2[CH]3[CH2][CH]4[CH2][CH]([CH2]3)[CH2]C2([CH2]4)C(=O)c2[cH][cH][cH][cH]c12  O=C1NC2C3CC4CC(C3)CC2(C4)C(=O)c2ccccc12  QOPTUL
[CH3]C1([CH3])[CH2]C(=O)[CH]2OC32[CH2][CH2][CH2][CH2]C13C#N  CC1(C)CC(=O)C2OC32CCCCC13C#N  QOPWUO
[NH2]c1nnnn1[NH][CH2]C(N(=O)=O)(N(=O)=O)N(=O)=O  NC1=NN=NN1NCC(N(=O)=O)(N(=O)=O)N(=O)=O  QORROF
[N-]=[N+]=Nc1nnnn1N=C1[CH2][CH2]C(=Nn2nnnc2N=[N+]=[N-])[CH2][CH2]1  [N-]=[N+]=NC1=NN=NN1N=C1CCC(CC1)=NN1N=NN=C1N=[N+]=[N-]  QOXPAV
[CH3]c1[cH]nc2O[CH2][CH2]n2c1=O  CC1=CN=C2OCCN2C1=O  QOXVII
O=C1[CH2]c2[cH][cH][cH]c([CH2]C(=O)[CH2]c3[cH][cH][cH]c([CH2]1)[cH]3)[cH]2  O=C1Cc2cccc(CC(=O)Cc3cccc(C1)c3)c2  QOYSAY
[CH3][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH3]  CCCCCCCCC  QQQFAY01
[CH3]C12OC(=O)[CH]=C(O[CH2]c3[cH][cH][cH][cH][cH]3)[CH]1[CH]1[CH]2C(=O)[NH]C1=O  CC12OC(=O)C=C(OCc3ccccc3)C1C1C2C(=O)NC1=O  QUBQUZ
[CH3][NH]C(=O)c1[cH][cH]c2[cH][cH][cH][cH]c2n1  CNC(=O)c1ccc2ccccc2n1  QUCXMA11
O=C1[CH2][CH]2O[CH2]O[CH2][CH]3[CH2][CH]1[CH]23  O=C1CC2OCOCC3CC1C23  QUDREN
[CH3]C(=O)c1[cH][cH][cH]c([cH]1)C(=O)[OH]  CC(=O)c1cccc(c1)C(O)=O  QUYREI
[CH3][CH2][CH2][CH2]n1c2[cH][cH][cH][cH]c2c2[cH][cH]c3[cH]c(O[CH3])[cH][cH]c3c12  CCCCN1c2ccccc2c2ccc3cc(OC)ccc3c12  QUYXAK
[CH3][CH2]Oc1[cH][cH]c2nc([CH2][CH2][CH2][CH2]O[OH])c3[CH2][CH2][CH2]c3c2[cH]1  CCOc1ccc2nc(CCCCOO)c3CCCc3c2c1  QUZCIY
[CH3][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2]C(=O)[NH][CH2][CH2][N]([CH3])([CH3])[O]  CCCCCCCCCC(=O)NCCN(C)(C)[O]  QUZQUY
[NH3+][CH2][CH2][CH]([OH])C(=O)[O-]  [NH3+]CCC(O)C(=O)[O-]  RABTUL
[CH3]C1=[CH]OC([CH3])([CH2][CH2]1)C(=O)[OH]  CC1=COC(C)(CC1)C(O)=O  RAGMUJ
[CH3][CH2][CH2][CH2]N1C(=O)[NH]C2([CH2]C3([CH2]C(=NO3)C(=O)c3[cH][cH][cH][cH][cH]3)[CH2]2)C1=O  CCCCN1C(=O)NC2(CC3(CC(=NO3)C(=O)c3ccccc3)C2)C1=O  RAHJAL
[CH3]n1[cH][cH][cH][cH]c1=NN(=O)=O  CN1C=CC=CC1=NN(=O)=O  RANWUY
[OH]C(c1[cH][cH][cH][cH][cH]1)(c1[cH][cH][cH][cH][cH]1)c1[cH]nnn1[CH2]c1[cH][cH][cH][cH][cH]1  OC(c1ccccc1)(c1ccccc1)C1=CN=NN1Cc1ccccc1  RAWXAP
[CH2]1c2[cH][cH]c([cH][cH]2)N=c2c3[cH][cH][cH][cH]c3c(=Nc3[cH][cH]c([CH2]c4[cH][cH]c([cH][cH]4)N=c4c5[cH][cH][cH][cH]c5c(=Nc5[cH][cH]c1[cH][cH]5)c1[cH][cH][cH][cH]c41)[cH][cH]3)c1[cH][cH][cH][cH]c21  C1c2ccc(cc2)N=C2c3ccccc3C(=Nc3ccc(Cc4ccc(cc4)N=C4c5ccccc5C(=Nc5ccc1cc5)c1ccccc41)cc3)c1ccccc21  RAYKAE
[CH3][CH2]OC(=O)c1n[cH][cH]n1[CH3]  CCOC(=O)C1=NC=CN1C  REHCOX
[CH2]1[CH2]N2[CH2][CH2]N=C2[NH]1  C1CN2CCN=C2N1  REJVAE01
[CH3][CH]1[NH]C(=O)[CH]2[CH2][CH]([OH])[CH2]N2C1=O  CC1NC(=O)C2CC(O)CN2C1=O  REQHUQ
[CH3]Oc1[cH][cH]c([CH2][CH2]c2[cH][cH]c(O[CH3])[cH][cH]2)[cH][cH]1  COc1ccc(CCc2ccc(OC)cc2)cc1  RERWOA
[NH2]c1[cH][cH]c2oc(=O)[nH]c2[cH]1  Nc1ccc2OC(=O)Nc2c1  RESKIK
[CH3]c1c(N=[N+]=[N-])nc(N=[N+]=[N-])nc1N=[N+]=[N-]  Cc1c(N=[N+]=[N-])nc(N=[N+]=[N-])nc1N=[N+]=[N-]  RETMEJ
[CH3]C(=O)[CH]1[CH2][CH](C#[CH])C1([CH3])[CH3]  CC(=O)C1CC(C#C)C1(C)C  REZBUU
[CH3][CH]1[CH2]C(=O)[CH2][CH]([CH3])[CH]1C(=O)[OH]  CC1CC(=O)CC(C)C1C(O)=O  REZRUK
O=C1[NH]c2[cH][cH][cH][cH]c2C21O[CH]2C(=O)c1[cH][cH][cH][cH][cH]1  O=C1Nc2ccccc2C21OC2C(=O)c1ccccc1  RICYEI
[OH]C(=O)[CH2]c1[cH][cH]c([CH2]C(=O)[OH])[cH][cH]1  OC(=O)Cc1ccc(CC(O)=O)cc1  RIGXOV
[CH3]C1([CH3])O[CH]2[CH]=[CH]C(=O)[CH]2O1  CC1(C)OC2C=CC(=O)C2O1  RIQMIO
N#C[CH2][CH2]N([CH2][CH2][CH2][CH2]N([CH2][CH2]C#N)[CH2][CH2]C#N)[CH2][CH2]C#N  N#CCCN(CCCCN(CCC#N)CCC#N)CCC#N  RISFAB
[CH3][CH]([NH]c1n[cH]c([cH]c1N(=O)=O)N(=O)=O)c1[cH][cH][cH][cH][cH]1  CC(Nc1ncc(cc1N(=O)=O)N(=O)=O)c1ccccc1  RIWQET
[OH][CH]([CH2]n1[cH]nnn1)[CH2]n1n[cH]nn1  OC(CN1C=NN=N1)CN1N=CN=N1  RIZXEE
[CH3]C([CH3])([CH3])c1[cH]c2c(N=c3c(c4c5[cH]c([cH]c(c5N=c4c(c23)c2[cH][cH][cH][cH][cH]2)C([CH3])([CH3])[CH3])C([CH3])([CH3])[CH3])c2[cH][cH][cH][cH][cH]2)c([cH]1)C([CH3])([CH3])[CH3]  CC(C)(C)c1cc2c(N=C3C(=C4c5cc(cc(c5N=C4C(=C23)c2ccccc2)C(C)(C)C)C(C)(C)C)c2ccccc2)c(c1)C(C)(C)C  ROCLUR
[CH3]n1nc(c(c1N(=O)=O)[CH3])N(=O)=O  CN1N=C(C(=C1N(=O)=O)C)N(=O)=O  RODLOM
[CH3]C([CH3])([CH3])OC(=O)N1[CH2][CH]2[CH2][CH]1C(=O)O2  CC(C)(C)OC(=O)N1CC2CC1C(=O)O2  ROGGEA
[NH2]c1[nH+][cH][cH][cH]c1C(=O)[O-]  Nc1[nH+]cccc1C(=O)[O-]  ROGXIU01
[CH3]OC(=O)c1[cH][cH]c([cH][cH]1)N(=O)=O  COC(=O)c1ccc(cc1)N(=O)=O  RUGNIR
[CH3]c1[cH][cH]c([cH][cH]1)n1[cH]c(C(=O)c2[cH][cH]c([CH3])[cH][cH]2)c(n1)c1[cH][cH]c(o1)N(=O)=O  Cc1ccc(cc1)N1C=C(C(=O)c2ccc(C)cc2)C(=N1)C1=CC=C(O1)N(=O)=O  RUGPAL
[CH3]C1([CH3])[CH2][CH]([OH])[CH2]C([CH3])([CH3])N1N=O  CC1(C)CC(O)CC(C)(C)N1N=O  RUPFEO
[cH]1[cH]c([cH][cH]n1)c1nnc(nn1)c1[cH][cH]n[cH][cH]1  c1cc(ccn1)c1nnc(nn1)c1ccncc1  RUYKIF01
O=N(=O)c1[cH][cH][cH]c(Oc2[cH]nc3[cH][cH][cH][cH]c3n2)[cH]1  O=N(=O)c1cccc(Oc2cnc3ccccc3n2)c1  SABDEG
[CH3][CH]([CH3])c1nc([cH]c(=O)[nH]1)[CH3]  CC(C)C1=NC(=CC(=O)N1)C  SABKIR
N#Cc1[cH][cH]c(O[CH2]c2[cH][cH][cH]o2)[cH]c1C#N  N#Cc1ccc(OCC2=CC=CO2)cc1C#N  SAGQOI
[CH3]Oc1[cH][cH]c([cH]c1O[CH3])[CH]=C1C(=O)N([CH3])C(=O)N([CH3])C1=O  COc1ccc(cc1OC)C=C1C(=O)N(C)C(=O)N(C)C1=O  SAGVED
O=C1O[CH2][CH2]C1(C(=O)c1[cH][cH]c2[cH][cH][cH][cH]c2[cH]1)c1[cH][cH][cH][cH][cH]1  O=C1OCCC1(C(=O)c1ccc2ccccc2c1)c1ccccc1  SAHPIC
[OH]N=C1[CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2]C1=O  ON=C1CCCCCCCCCCC1=O  SAHPUO
O=C1[NH][CH2][CH2]c2[cH]n[cH]n12  O=C1NCCC2=CN=CN12  SAJHIV
[OH]C(=O)c1[cH][cH][cH][cH]c1[OH]  OC(=O)c1ccccc1O  SALIAC16
[CH3]C([CH3])([CH3])c1[cH][cH][cH][cH]c1N1[CH]2[CH]=[CH][CH]2C1=O  CC(C)(C)c1ccccc1N1C2C=CC2C1=O  SAPVUC
[CH3]N(c1[cH][cH][cH][cH]c1N(=O)=O)N(=O)=O  CN(c1ccccc1N(=O)=O)N(=O)=O  SATBUL
[CH3]N(c1[cH][cH][cH]c([cH]1)N(=O)=O)N(=O)=O  CN(c1cccc(c1)N(=O)=O)N(=O)=O  SATCAS
[CH3]C(=O)c1[cH]c2[CH2][CH2][CH2]c3[cH][cH][cH]c(c1[OH])c23  CC(=O)c1cc2CCCc3cccc(c1O)c23  SAVZEV
[OH]N=[CH]c1n[nH][cH][cH]1  ON=CC1=NNC=C1  SAWJUW
[CH2]1[CH2][CH2]C2([CH2][CH2]1)OOC1([CH2][CH2][CH2][CH2][CH2]1)OO2  C1CCC2(CC1)OOC1(CCCCC1)OO2  SCHOCH11
[NH2]C(=C(N(=O)=O)N(=O)=O)[NH2]  NC(N)=C(N(=O)=O)N(=O)=O  SEDTUQ09
[CH3][CH]1[NH]C(=O)[CH]2[CH2][CH2][CH2]C2=[CH]1  CC1NC(=O)C2CCCC2=C1  SEMGOH
O=c1oc2[cH]c([CH]=[CH]c3[cH][cH][cH][cH][cH]3)[cH][cH]c2[cH][cH]1  O=C1Oc2cc(C=Cc3ccccc3)ccc2C=C1  SEPSUC
[CH3]OC(=O)[CH2][NH]C(=O)C(=[CH2])[NH]C(=O)[CH2][NH]C(=O)OC([CH3])([CH3])[CH3]  COC(=O)CNC(=O)C(=C)NC(=O)CNC(=O)OC(C)(C)C  SETQAK
O=C1[CH]2[CH2][CH2]N([CH2][CH2]2)C1=[CH]c1[cH]n([CH2]c2[cH][cH][cH][cH][cH]2)c2[cH][cH]c([cH]c12)N(=O)=O  O=C1C2CCN(CC2)C1=CC1=CN(Cc2ccccc2)c2ccc(cc12)N(=O)=O  SETWEU
[CH3]C1=[CH][CH]([OH])[CH]2O[CH]2C1=O  CC1=CC(O)C2OC2C1=O  SEWHUY
[CH3]C12O[CH]1C(=O)c1[cH][cH][cH][cH]c1C2=O  CC12OC1C(=O)c1ccccc1C2=O  SIGYEN
O=C([CH2][CH2]C(=O)[NH]c1[cH][cH]c([cH][cH]1)N(=O)=O)[NH]c1[cH][cH][cH][cH][cH]1  O=C(CCC(=O)Nc1ccc(cc1)N(=O)=O)Nc1ccccc1  SIMSAJ
[CH3]C(=O)Oc1[cH][cH]c2c(Oc3[cH]c(OC(=O)[CH3])[cH][cH]c3C32OC(=O)c2[cH][cH][cH][cH]c32)[cH]1  CC(=O)Oc1ccc2c(Oc3cc(OC(C)=O)ccc3C32OC(=O)c2ccccc32)c1  SIQJIL
[CH3][CH2]OC(=O)C1([NH]C(=O)[CH]2[CH2]N([CH2]c3[cH][cH][cH][cH][cH]3)O[CH]12)C#N  CCOC(=O)C1(NC(=O)C2CN(Cc3ccccc3)OC12)C#N  SOCBOC
[CH3]O[CH]1[CH2][CH](N([CH2]1)C(=O)[CH3])C(=O)O[CH3]  COC1CC(N(C1)C(C)=O)C(=O)OC  SODJEB
[CH3][CH]([CH3])c1[cH][cH][cH]c([CH]([CH3])[CH3])c1N=[CH][CH]1[CH2][CH]([CH2][CH2]N1[O])N(=O)=O  CC(C)c1cccc(C(C)C)c1N=Cc1cc(ccn1[O])N(=O)=O  SOHXOD
[CH3]C(=O)[NH][CH]1[CH2]O[CH]2[CH2]O[CH](O[CH]2[CH]1OC(=O)[CH3])c1[cH][cH][cH][cH][cH]1  CC(=O)NC1COC2COC(OC2C1OC(C)=O)c1ccccc1  SOJXUL
[OH]C(=O)[CH]1[CH2]C(=O)[CH2]1  OC(=O)C1CC(=O)C1  SOLTET
[CH3]C(=[CH][CH]([OH])[CH2]C(=[CH][CH2]Oc1c2[cH][cH]oc2[cH]c2oc(=O)[cH][cH]c12)[CH3])[CH3]  CC(C)=CC(O)CC(C)=CCOc1c2C=COc2cc2OC(=O)C=Cc12  SOLXUN
[CH3][NH]c1[cH]c([cH]c([CH3])[n+]1[O-])N(=O)=O  CNc1cc(cc(C)[n+]1[O-])N(=O)=O  SOVNUN
O=C1[NH][CH2][CH2]c2[cH][cH][cH][cH]c12  O=C1NCCc2ccccc12  SOWQOL
[CH3]Oc1[cH][cH]c([cH][cH]1)[CH]=[CH]c1[cH][cH][cH][cH]c1[NH]C(=O)[CH3]  COc1ccc(cc1)C=Cc1ccccc1NC(C)=O  SOYMUP
[OH][CH2][CH]1O[CH](OC2([CH2][OH])O[CH]([CH2][OH])[CH]([OH])[CH]2[OH])[CH]([OH])[CH]([OH])[CH]1[OH]  OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O  SUCROS14
[CH3]c1[cH]c([CH3])c([CH2][CH2]c2c([CH3])[cH]c([CH3])[cH]c2[CH3])c([CH3])[cH]1  Cc1cc(C)c(CCc2c(C)cc(C)cc2C)c(C)c1  SUCSOY02
[CH3]C1([CH3])C(=O)N(c2[cH][cH][cH][cH][cH]2)C(=[NH])C1([CH3])N=Nc1[cH][cH]c([cH][cH]1)N(=O)=O  CC1(C)C(=O)N(c2ccccc2)C(=N)C1(C)N=Nc1ccc(cc1)N(=O)=O  SUQDEO
[CH3][CH]1O[CH]2[CH2][CH]3O[CH2][CH2][CH2][CH]3O[CH]2[CH2][CH]1[OH]  CC1OC2CC3OCCCC3OC2CC1O  SUQQEB
O=C1[CH2]C2([CH2][CH2][CH2][CH]2[CH]=[CH]1)C#N  O=C1CC2(CCCC2C=C1)C#N  SUVBIV
O=C1O[CH2][CH2]C#C[CH2][CH2]OC(=O)c2[cH][cH][cH][cH]c12  O=C1OCCC#CCCOC(=O)c2ccccc12  SUVSAE
O=C1[NH][CH]([CH2]c2[cH][cH][cH][cH][cH]2)c2[cH]nnn2c2[cH][cH][cH][cH]c12  O=C1NC(Cc2ccccc2)C2=CN=NN2c2ccccc12  SUWPAC01
[CH3][CH2]OC(=O)c1c(n(n[cH]1)C([CH3])([CH3])[CH3])c1[cH][cH][cH][cH][cH]1  CCOC(=O)C1=C(N(N=C1)C(C)(C)C)c1ccccc1  SUYTOW
[CH3]C(=O)N1C(=O)C(=C(c2[cH][cH][cH][cH][cH]2)C(=O)c2[cH][cH][cH]n[cH]2)c2[cH][cH][cH][cH]c12  CC(=O)N1C(=O)C(c2ccccc12)=C(c1ccccc1)C(=O)c1cccnc1  SUYVIS
[CH3][CH2]Oc1[cH][cH]c([CH]=[CH]C(=O)c2[cH][cH][cH][cH]c2[OH])[cH][cH]1  CCOc1ccc(C=CC(=O)c2ccccc2O)cc1  SUZPIN
N#Cc1[cH][cH]c2[cH][cH][cH][cH]c2n1  N#Cc1ccc2ccccc2n1  SUZXOB
[CH3]Oc1[cH]c(O[CH3])c([CH]=NN=[CH]c2c(O[CH3])[cH]c(O[CH3])[cH]c2O[CH3])c(O[CH3])[cH]1  COc1cc(OC)c(C=NN=Cc2c(OC)cc(OC)cc2OC)c(OC)c1  SUZYIW
[cH]1[cH][cH]c(n[cH]1)c1[cH][cH]c([cH]n1)N=Nc1[cH][cH]c(n[cH]1)c1[cH][cH][cH][cH]n1  c1ccc(nc1)c1ccc(cn1)N=Nc1ccc(nc1)c1ccccn1  TADHEM
[CH3]C1([CH3])OC([CH3])([CH2][CH2][CH]1C(=O)[OH])C(=O)[OH]  CC1(C)OC(C)(CCC1C(O)=O)C(O)=O  TADNUI
[CH3][CH2]OC(=O)[CH]=C1[CH2][CH](O[CH](O1)c1[cH][cH]n[cH][cH]1)c1[cH][cH]n[cH][cH]1  CCOC(=O)C=C1CC(OC(O1)c1ccncc1)c1ccncc1  TALDAM
[OH]C(=O)c1[cH][cH]c(Oc2[cH][cH]c([cH][cH]2)C(=O)[OH])[cH][cH]1  OC(=O)c1ccc(Oc2ccc(cc2)C(O)=O)cc1  TAPSAF01
O=C(c1[cH]c2[cH][cH][cH][cH]c2o1)c1[cH][cH][cH][cH][cH]1  O=C(C1=Cc2ccccc2O1)c1ccccc1  TAPZUG
O=C1O[CH]([CH2]C(=[CH]1)[CH]=[CH]c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1  O=C1OC(CC(=C1)C=Cc1ccccc1)c1ccccc1  TAVDOK
[OH][CH2][CH]1O[CH]([CH]([OH])[CH]1[OH])c1[cH][cH][cH][cH][cH]1  OCC1OC(C(O)C1O)c1ccccc1  TAWMUZ01
[CH3]Oc1[cH][cH]c2[cH][cH][cH][cH]c2c1[CH]=NN=[CH]c1c(O[CH3])[cH][cH]c2[cH][cH][cH][cH]c12  COc1ccc2ccccc2c1C=NN=Cc1c(OC)ccc2ccccc12  TAZXOI
[cH]1[cH][cH]c2c([cH]1)[cH][cH][cH]c2[CH]=NN=[CH]c1[cH][cH][cH]c2[cH][cH][cH][cH]c12  c1ccc2c(c1)cccc2C=NN=Cc1cccc2ccccc12  TAZXUO
N#CC1(OC1(C#N)C#N)C#N  N#CC1(OC1(C#N)C#N)C#N  TCYNEO04
[CH3][NH]C(=O)[CH]([CH2]c1[cH][cH][cH][cH][cH]1)N=C1OC(=O)C(=C1[CH2][CH]([CH3])[CH3])[CH3]  CNC(=O)C(Cc1ccccc1)N=C1OC(=O)C(=C1CC(C)C)C  TEGPUR
O=C1[CH]2[CH2][CH2]N([CH2][CH2]2)C1=[CH][CH]1[CH2][CH2][CH2][CH2][CH2]1  O=C1C2CCN(CC2)C1=CC1CCCCC1  TERREO
[CH3]C1([CH3])[CH]2[CH2][CH2]C3([CH3])[CH](C(=O)[CH]=C4[CH]5[CH2]C([CH3])([CH2][CH2]C5([CH3])[CH2][CH2]C34[CH3])C(=O)[OH])C2([CH3])[CH2][CH2]C1=O  CC1(C)C2CCC3(C)C(C(=O)C=C4C5CC(C)(CCC5(C)CCC34C)C(O)=O)C2(C)CCC1=O  TEVYAV
[CH3]OC(=O)[CH]=C(n1[cH]nc([cH]1)N(=O)=O)C(=O)O[CH3]  COC(=O)C=C(N1C=NC(=C1)N(=O)=O)C(=O)OC  TIBHES
[OH]C(=O)c1[cH]c2[cH][cH][cH][cH]c2oc1=O  OC(=O)C1=Cc2ccccc2OC1=O  TICHUI04
[CH3]O[CH]1O[CH2][CH]([OH])[CH]([OH])[CH]1[OH]  COC1OCC(O)C(O)C1O  TICXUY01
[CH3][CH2]OC(=O)[CH]1O[CH2]N([CH]1c1[cH][cH][cH][cH][cH]1)c1[cH][cH]c(O[CH3])[cH][cH]1  CCOC(=O)C1OCN(C1c1ccccc1)c1ccc(OC)cc1  TIFGAR
[CH3]C(=O)c1[cH][cH]c([cH][cH]1)C(=O)[OH]  CC(=O)c1ccc(cc1)C(O)=O  TIHLIG
[CH2]1[CH2]C21[CH2]C2=C1[CH2]C21[CH2][CH2]2  C1CC21CC2=C1CC21CC2  TIHWIQ
O=N(=O)c1[cH]c2noc(c2[cH][cH]1)c1[cH][cH][cH][cH]n1  O=N(=O)C1=CC2=NOC(=C2C=C1)c1ccccn1  TIJPAE
[CH3]C([CH3])([CH3])[NH]C(=O)[CH]=[CH]C(=[CH]c1[cH][cH]c([cH][cH]1)C#N)c1[cH][cH]c([cH][cH]1)C#N  CC(C)(C)NC(=O)C=CC(=Cc1ccc(cc1)C#N)c1ccc(cc1)C#N  TIYJER
O=C1c2[cH][cH][cH][cH]c2C(=O)C21[CH](c1[cH][cH]c3[cH][cH][cH][cH]c3[cH]1)C1([CH]2c2[cH][cH]c3[cH][cH][cH][cH]c3[cH]2)C(=O)c2[cH][cH][cH][cH]c2C1=O  O=C1c2ccccc2C(=O)C21C(c1ccc3ccccc3c1)C1(C2c2ccc3ccccc3c2)C(=O)c2ccccc2C1=O  TOLNAK
[CH3]c1[cH]c2c3[CH]4[CH]5[CH2][CH2][CH]([CH2]5)[CH]4C(=O)c3c3[cH][cH][cH][cH]c3c2c(=O)o1  CC1=Cc2c3C4C5CCC(C5)C4C(=O)c3c3ccccc3c2C(=O)O1  TOPCAD
[cH]1[cH][cH]c([cH][cH]1)C(=C(c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1  c1ccc(cc1)C(c1ccccc1)=C(c1ccccc1)c1ccccc1  TPHETY02
[nH]1c2=C(c3[cH][cH][cH][cH][cH]3)C3=NC(=C(c4[cH][cH]c([nH]4)C(=C4[CH]=[CH]C(=N4)C(=c1[cH][cH]2)c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1)[CH]=[CH]3  N1C2=C(c3ccccc3)C3=NC(=C(C4=CC=C(N4)C(=C4C=CC(=N4)C(=C1C=C2)c1ccccc1)c1ccccc1)c1ccccc1)C=C3  TPHPOR11
[CH3][CH]([CH3])C12O[CH]1[CH]1OC31C1([CH3])[CH2][CH2]C4=C([CH2]OC4=O)[CH]1[CH2][CH]1OC31[CH]2[OH]  CC(C)C12OC1C1OC31C1(C)CCC4=C(COC4=O)C1CC1OC31C2O  TRIPOL11
O=C([NH]N=C(c1[cH][cH][cH][cH][cH]1)C(=N[NH]C(=O)c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1  O=C(NN=C(c1ccccc1)C(=NNC(=O)c1ccccc1)c1ccccc1)c1ccccc1  TUMDIP01
[CH3]c1[cH][cH]c([cH][cH]1)[n+]1noc(c1[CH]=O)[O-]  Cc1ccc(cc1)[N+]1=NOC(=C1C=O)[O-]  TUNWIJ
[CH3]OC(=O)C1=C([CH3])[NH]C(=C([CH]1c1[cH][cH]c(O[CH3])c(O[CH3])[cH]1)C(=O)O[CH3])[CH3]  COC(=O)C1=C(C)NC(=C(C1c1ccc(OC)c(OC)c1)C(=O)OC)C  TUPGUH
[CH3][CH2]c1c([CH3])c(=O)[nH][nH]1  CCC1=C(C)C(=O)NN1  TUPHAO
[CH3][CH2][CH]1[NH]C(=O)C([OH])([CH2]O[CH2]c2[cH][cH][cH][cH][cH]2)[CH]1c1[cH][cH][cH][cH][cH]1  CCC1NC(=O)C(O)(COCc2ccccc2)C1c1ccccc1  UBUXIA
[CH3]C(=O)N([CH2]C(=O)N1[CH2][CH2][CH2][CH2][CH2]1)c1[cH][cH][cH][cH][cH]1  CC(=O)N(CC(=O)N1CCCCC1)c1ccccc1  UCUBIF
[CH3]C(=[CH2])[CH]1[CH2][CH2]C23O[CH]2[CH]([CH2]C2([CH3])[CH2]C(=O)[CH]([CH2]C(=O)[CH2]1)O2)OC3=O  CC(=C)C1CCC23OC2C(CC2(C)CC(=O)C(CC(=O)C1)O2)OC3=O  UDAKUH
[CH3]O[N+]1=NOC(=O)[C-]1C(=O)O[CH3]  CO[N+]1=NOC(=O)[C-]1C(=O)OC  UDOZOD
[CH3]Oc1nc([cH]n1[CH3])N(=O)=O  COC1=NC(=CN1C)N(=O)=O  UDUQUG
[CH3][CH2][CH2][CH]1OC(=O)[CH2][CH2][CH2][CH]=[CH][CH]2OC([CH3])([CH3])O[CH]12  CCCC1OC(=O)CCCC=CC2OC(C)(C)OC12  UFOSOX
[CH3]O[CH]1[CH2][CH2][CH2]C21[CH2]OC(=O)[NH]2  COC1CCCC21COC(=O)N2  UGECAK
N#C[CH]([NH][CH2][CH2][CH2][NH][CH](C#N)c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1  N#CC(NCCCNC(C#N)c1ccccc1)c1ccccc1  UGIVOW
N#C[CH]([NH][CH2][CH2][CH2][CH2][NH][CH](C#N)c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1  N#CC(NCCCCNC(C#N)c1ccccc1)c1ccccc1  UGIVUC
[CH3]C1([CH3])O[CH]2[CH2]C3([CH3])OC(=O)O[CH2][CH]3OC2([CH3])[CH2][CH]1[OH]  CC1(C)OC2CC3(C)OC(=O)OCC3OC2(C)CC1O  UHULUE
O=N(=O)c1[cH][cH][cH][cH]c1N=[N+]=[N-]  O=N(=O)c1ccccc1N=[N+]=[N-]  UJEREG01
[CH3][CH2][CH]1[CH]([CH2]N(=O)=O)c2[cH][cH][cH][cH]c2OC1=O  CCC1C(CN(=O)=O)c2ccccc2OC1=O  UKEPIK
[CH3][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2]n1c(=O)[nH]c2[cH]c([cH][cH]c12)N(=O)=O  CCCCCCCCCN1C(=O)Nc2cc(ccc12)N(=O)=O  ULEZAN
[CH3]c1[cH]c([CH3])[cH]c([cH]1)N=C([CH3])C(=Nc1[cH]c([CH3])[cH]c([CH3])[cH]1)[CH3]  Cc1cc(C)cc(c1)N=C(C)C(C)=Nc1cc(C)cc(C)c1  UMATUY
O=C([NH][CH2]c1[cH][cH][cH][cH][cH]1)c1[cH][cH]c([cH][cH]1)C(=O)[NH][CH2]c1[cH][cH][cH][cH][cH]1  O=C(NCc1ccccc1)c1ccc(cc1)C(=O)NCc1ccccc1  UMOPAO
[CH3]c1nc2[cH][cH][cH][cH]c2c(=O)n1[OH]  CC1=Nc2ccccc2C(=O)N1O  UMOTUM
[CH3][CH2][CH2]Oc1[cH][cH][cH]c2c(O[CH2][CH2][CH3])[cH][cH][cH]c12  CCCOc1cccc2c(OCCC)cccc12  UNAMAY
[CH3][CH2][CH2][CH2][CH2]Oc1[cH][cH][cH]c2c(O[CH2][CH2][CH2][CH2][CH3])[cH][cH][cH]c12  CCCCCOc1cccc2c(OCCCCC)cccc12  UNAMIG
